sciname,seqnumber,total_sample,sample_with,len_sample_with
Bacteroides caccae,"seq 2, seq 49, seq 248, seq 255",30,"{0, 1, 3, 4, 6, 8, 10, 11, 14, 15, 16, 17, 18, 19, 22, 23, 25, 26, 27, 28, 29}",21
Roseburia intestinalis L1-82,"seq 64, seq 189",30,"{0, 1, 3, 4, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17, 19, 20, 22, 23, 26, 27, 29}",21
Bacteroides fragilis,"seq 65, seq 156",30,"{0, 1, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 21, 23, 24, 25, 26, 27, 29}",21
Bacteroides dorei,"seq 9, seq 184, seq 536",30,"{0, 1, 2, 3, 4, 6, 11, 12, 13, 16, 17, 18, 19, 22, 23, 24, 25, 26, 27, 29}",20
Clostridium bolteae,"seq 153, seq 170",30,"{1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 15, 19, 21, 22, 23, 25, 26, 27, 28}",20
Escherichia coli,"seq 13, seq 176, seq 510",30,"{0, 1, 2, 3, 4, 6, 11, 12, 13, 16, 17, 18, 20, 22, 23, 24, 25, 26, 27, 29}",20
Bacteroides thetaiotaomicron,seq 20,30,"{0, 1, 3, 4, 6, 11, 12, 13, 16, 17, 18, 19, 22, 23, 24, 25, 26, 27, 29}",19
Romboutsia sp. CE17,seq 66,30,"{0, 1, 2, 3, 6, 11, 12, 13, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 29}",19
Bacteroides stercoris,"seq 10, seq 138",30,"{0, 1, 3, 6, 8, 11, 12, 14, 16, 19, 21, 22, 23, 25, 26, 27, 28, 29}",18
Enterobacter ludwigii,seq 6,30,"{2, 3, 4, 6, 11, 12, 13, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 29}",18
Collinsella aerofaciens,"seq 155, seq 487",30,"{0, 1, 4, 6, 11, 12, 13, 16, 17, 19, 20, 23, 24, 25, 26, 27, 29}",17
Anaerostipes hadrus,seq 147,30,"{0, 1, 3, 4, 6, 12, 13, 16, 17, 19, 20, 23, 26, 27, 29}",15
Streptococcus salivarius,seq 196,30,"{0, 1, 2, 4, 12, 13, 16, 17, 19, 20, 23, 26, 27, 29}",14
Citrobacter sp.,seq 52,30,"{2, 3, 4, 6, 11, 16, 17, 18, 22, 23, 25, 27, 29}",13
Odoribacter splanchnicus,seq 216,30,"{0, 1, 4, 6, 11, 16, 17, 18, 19, 22, 23, 25, 26}",13
Finegoldia magna,seq 46,30,"{1, 2, 3, 4, 6, 11, 12, 17, 23, 25, 26, 27}",12
Ruminococcus gnavus ATCC 29149,"seq 14, seq 227, seq 475, seq 497",30,"{0, 2, 3, 4, 6, 11, 12, 13, 22, 23, 26, 27}",12
Bacteroides sartorii,seq 24,30,"{0, 1, 3, 6, 11, 13, 16, 19, 23, 25, 29}",11
Bifidobacterium pseudocatenulatum,seq 166,30,"{0, 1, 3, 13, 16, 18, 20, 22, 24, 25, 27}",11
Parabacteroides distasonis,seq 159,30,"{0, 1, 3, 4, 11, 13, 16, 17, 19, 25}",10
Dialister invisus,seq 203,30,"{0, 1, 3, 11, 22, 23, 24, 26, 27}",9
Shigella sonnei,seq 202,30,"{2, 3, 12, 17, 22, 24, 27, 29}",8
bacterium,seq 143,30,"{2, 3, 4, 6, 11, 17, 23, 27}",8
Faecalibacterium prausnitzii,seq 238,30,"{5, 7, 8, 9, 14, 15, 21, 28}",8
Bacteroides sp. A1C1,seq 178,30,"{2, 6, 11, 12, 13, 25, 27, 29}",8
Citrobacter sp. TSA-1,seq 481,30,"{2, 4, 6, 13, 17, 22, 29}",7
Erysipelatoclostridium ramosum,seq 262,30,"{2, 3, 4, 11, 23, 25, 27}",7
Corynebacterium rouxii,seq 212,30,"{2, 3, 4, 6, 17, 23, 27}",7
Fusobacterium nucleatum subsp. animalis,seq 480,30,"{0, 4, 11, 13, 25, 27}",6
Corynebacterium sp.,seq 259,30,"{2, 3, 11, 17, 23, 27}",6
Longibaculum sp. KGMB06250,seq 200,30,"{7, 8, 9, 14, 15, 21}",6
Campylobacter hominis,seq 247,30,"{1, 13, 19, 23, 25}",5
Blautia producta,seq 527,30,"{5, 7, 9, 15, 21}",5
Pseudomonas psychrophila,seq 53,30,"{8, 10, 21, 14}",4
Blautia sp. N6H1-15,seq 245,30,"{2, 23}",2
Dialister sp. 5BBH33,seq 235,30,"{4, 14}",2
Alloprevotella sp. E39,seq 142,30,"{1, 13}",2
Staphylococcus aureus,seq 186,30,"{21, 15}",2
Citrobacter sp. Y3,"seq 41, seq 219",30,"{18, 3}",2
Acidaminococcus intestini,seq 512,30,"{10, 4}",2
Klebsiella pneumoniae,seq 513,30,"{18, 29}",2
Streptomyces sp.,seq 169,30,{21},1
