sciname,seqnumber,total_sample,sample_with,len_sample_with
Bacteroides stercoris,"seq 284, seq 571",40,"{16, 9, 20, 13}",4
Megasphaera elsdenii,seq 266,40,"{13, 28, 12, 5}",4
Megamonas funiformis,"seq 255, seq 346",40,"{34, 4, 12, 13}",4
Pseudomonas aeruginosa,seq 396,40,"{19, 5, 6, 15}",4
Pseudomonas psychrophila,seq 161,40,"{8, 33, 29, 38}",4
Penicillium roqueforti,seq 238,40,"{32, 33, 35}",3
Bifidobacterium bifidum,seq 279,40,"{1, 10}",2
Streptococcus gallolyticus,seq 233,40,"{32, 10}",2
Delftia lacustris,seq 212,40,"{18, 7}",2
Pseudomonas sp.,"seq 363, seq 447",40,"{18, 7}",2
Paraprevotella xylaniphila YIT 11841,seq 112,40,"{37, 22}",2
Raoultella ornithinolytica,"seq 433, seq 537, seq 567",40,{14},1
Pseudomonas putida,seq 229,40,{7},1
Sphingobacterium sp.,seq 378,40,{7},1
Rhizobium sp.,seq 375,40,{18},1
Staphylococcus haemolyticus,seq 323,40,{10},1
Flavobacterium johnsoniae,seq 317,40,{18},1
Achromobacter sp.,seq 314,40,{18},1
Bacillus megaterium,seq 294,40,{8},1
Morganella morganii,"seq 72, seq 451",40,{26},1
Brevundimonas diminuta,seq 167,40,{18},1
Fusobacterium mortiferum ATCC 9817,seq 105,40,{12},1
Citrobacter koseri,seq 577,40,{26},1
