sciname,seqnumber,total_sample,sample_with,len_sample_with
Dialister invisus,"seq 158, seq 185",25,"{0, 1, 2, 5, 11, 12, 15, 18, 19, 22, 24}",11
Methanobrevibacter smithii,seq 49,25,"{3, 4, 6, 10, 11, 13, 16, 17, 20, 23}",10
Porphyromonas asaccharolytica,seq 355,25,"{4, 5, 6, 10, 13, 15, 16, 17, 19, 20}",10
Escherichia fergusonii,"seq 7, seq 214",25,"{0, 1, 2, 5, 8, 9, 12, 14, 24}",9
Flavonifractor plautii,seq 186,25,"{3, 4, 10, 13, 15, 16, 18, 21, 22}",9
Ruminococcus gnavus ATCC 29149,seq 267,25,"{3, 4, 9, 10, 15, 16, 18, 21, 22}",9
Bifidobacterium pseudocatenulatum,"seq 47, seq 394",25,"{1, 21, 22, 7, 24, 9, 11, 13, 14}",9
Klebsiella michiganensis,"seq 44, seq 182",25,"{1, 2, 7, 8, 9, 12, 18, 22, 24}",9
Bacteroides sp. A1C1,seq 360,25,"{3, 9, 10, 13, 15, 19, 20, 21, 23}",9
Eisenbergiella tayi,seq 324,25,"{3, 10, 11, 16, 18, 20, 21, 22}",8
Pseudomonas psychrophila,seq 62,25,"{0, 1, 2, 8, 12, 14, 24}",7
Dialister sp. 5BBH33,seq 337,25,"{0, 1, 8, 9, 12}",5
Alistipes sp. 5CBH24,seq 194,25,"{18, 11, 21, 22}",4
Enterococcus faecium,seq 400,25,"{0, 9, 2, 24}",4
Citrobacter koseri,seq 174,25,"{3, 22, 7}",3
Bacillus simplex,seq 142,25,"{0, 8, 12}",3
Serratia fonticola,"seq 70, seq 159, seq 173, seq 208",25,"{24, 9, 7}",3
Hafnia sp.,"seq 5, seq 16, seq 32, seq 250, seq 326, seq 347, seq 353, seq 398",25,"{24, 2, 7}",3
Corynebacterium xerosis,seq 170,25,"{19, 11}",2
Hafnia alvei,"seq 215, seq 341, seq 344",25,"{24, 7}",2
Enterobacter cloacae,seq 357,25,"{24, 12}",2
Pseudomonas aeruginosa,seq 40,25,"{8, 12}",2
Bacillus kochii,seq 379,25,"{0, 12}",2
Sphingobacterium daejeonense,seq 100,25,"{0, 20}",2
Bacillus trypoxylicola,seq 125,25,{12},1
Aeromonas hydrophila,seq 122,25,{12},1
Streptomyces sp.,seq 72,25,{1},1
Pseudomonas salomonii,seq 48,25,{2},1
Lactobacillus murinus,seq 356,25,{2},1
Acinetobacter lwoffii,seq 378,25,{2},1
