sciname,seqnumber,total_sample,sample_with,len_sample_with
Lactococcus sp.,seq 485,30,"{1, 12, 22}",3
Bacillus clausii,seq 193,30,"{12, 6, 23}",3
Acidaminococcus intestini,seq 225,30,"{25, 3}",2
Megamonas funiformis,seq 381,30,"{18, 12}",2
Pseudomonas aeruginosa,seq 140,30,"{26, 21}",2
Bifidobacterium gallinarum,seq 316,30,{8},1
Blastocystis sp.,seq 468,30,{17},1
Morganella sp. (in: Bacteria),"seq 9, seq 533, seq 535",30,{16},1
Serratia plymuthica,"seq 13, seq 318, seq 354, seq 377, seq 414",30,{23},1
Megasphaera elsdenii,seq 136,30,{3},1
Bacteroides fragilis,seq 530,30,{17},1
