header	seqid	accession	identity	evalue	sciname	taxids	taxonomy
>ERR1079964.16 10317.000013105_15 length=151 number of reps 3568	ERR1079964.16	MT268987.1	100.0	1.7899999999999994e-71	Bacteroides ovatus	28116	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus
>ERR1079964.17 10317.000013105_16 length=151 number of reps 3522	ERR1079964.17	LR699017.1	100.0	1.7899999999999994e-71	Faecalibacterium prausnitzii	853	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii
>ERR1080303.576 10317.000021280_575 length=151 number of reps 3420	ERR1080303.576	MN081733.1	100.0	1.7899999999999994e-71	Bacteroides sartorii	671267	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sartorii
>ERR1079964.126 10317.000013105_125 length=151 number of reps 3343	ERR1079964.126	MT464345.1	100.0	1.7899999999999994e-71	Bacteroides thetaiotaomicron	818	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron
>ERR1080303.6 10317.000021280_5 length=151 number of reps 3311	ERR1080303.6	MT509819.1	100.0	1.7899999999999994e-71	Dialister invisus	218538	Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister;Dialister invisus
>ERR1160658.127 10317.000032795_126 length=126 number of reps 2955	ERR1160658.127	MT421943.1	100.0	1.1100000000000001e-57	Citrobacter freundii	546	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter freundii
>ERR1079964.472 10317.000013105_471 length=151 number of reps 2807	ERR1079964.472	MT445090.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1080303.1096 10317.000021280_1095 length=151 number of reps 2604	ERR1080303.1096	MT491082.1	100.0	1.7899999999999994e-71	Bifidobacterium longum	216816	Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum
>ERR1079964.188 10317.000013105_187 length=151 number of reps 2590	ERR1079964.188	MN474722.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1160658.20 10317.000032795_19 length=126 number of reps 2555	ERR1160658.20	MT516164.1	100.0	1.1100000000000001e-57	Streptococcus salivarius	1304	Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus salivarius
>ERR1458766.9 10317.000028806_8 length=150 number of reps 2550	ERR1458766.9	CP048437.1	100.0	6.369999999999999e-71	Faecalibacterium prausnitzii A2-165	411483	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii
>ERR1458766.137 10317.000028806_136 length=150 number of reps 2493	ERR1458766.137	LR654642.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1458766.50 10317.000028806_49 length=150 number of reps 2396	ERR1458766.50	MT464394.1	100.0	6.369999999999999e-71	Bacteroides dorei	357276	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides dorei
>ERR1160658.81 10317.000032795_80 length=126 number of reps 2328	ERR1160658.81	CP032167.1	100.0	1.1100000000000001e-57	Klebsiella pneumoniae	573	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae
>ERR1160658.1 10317.000032795_0 length=126 number of reps 2317	ERR1160658.1	MH222252.1	100.0	1.1100000000000001e-57	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2319745.6 10317.000050475_5 length=151 number of reps 2310	ERR2319745.6	LR636945.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2319745.184 10317.000050475_183 length=151 number of reps 2252	ERR2319745.184	LR650316.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2405131.61 10317.000082870_60 length=151 number of reps 2214	ERR2405131.61	CP014670.1	100.0	1.7899999999999994e-71	Escherichia coli	562	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
>ERR1079964.1338 10317.000013105_1337 length=151 number of reps 2203	ERR1079964.1338	MN212477.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1160658.105 10317.000032795_104 length=126 number of reps 2132	ERR1160658.105	KX996786.1	100.0	1.1100000000000001e-57	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1843602.15 10317.000040396_14 length=150 number of reps 2043	ERR1843602.15	MH288077.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1080303.344 10317.000021280_343 length=151 number of reps 1954	ERR1080303.344	HQ791674.1	100.0	1.7899999999999994e-71	uncultured organism	155900	NaN;NaN;NaN;NaN;NaN;uncultured organism
>ERR2319745.10519 10317.000050475_10518 length=151 number of reps 1953	ERR2319745.10519	MN474940.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2697834.4 10317.000097233_3 length=151 number of reps 1927	ERR2697834.4	LR595738.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2319745.26 10317.000050475_25 length=151 number of reps 1909	ERR2319745.26	LR654311.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1079964.63 10317.000013105_62 length=151 number of reps 1847	ERR1079964.63	MH291619.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1079964.10 10317.000013105_9 length=151 number of reps 1746	ERR1079964.10	MT421943.1	100.0	1.7899999999999994e-71	Citrobacter freundii	546	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter freundii
>ERR1458766.7 10317.000028806_6 length=150 number of reps 1665	ERR1458766.7	MT445090.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1079964.537 10317.000013105_536 length=151 number of reps 1635	ERR1079964.537	LR640650.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1080303.105 10317.000021280_104 length=151 number of reps 1574	ERR1080303.105	LR651246.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1080303.3728 10317.000021280_3727 length=151 number of reps 1523	ERR1080303.3728	MT445110.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2319745.208 10317.000050475_207 length=151 number of reps 1460	ERR2319745.208	KF841716.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2405131.13 10317.000082870_12 length=151 number of reps 1440	ERR2405131.13	MH570136.1	100.0	1.7899999999999994e-71	uncultured Bacteroides sp.	162156	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured Bacteroides sp.
>ERR2319745.126 10317.000050475_125 length=151 number of reps 1436	ERR2319745.126	LR643030.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1079964.226 10317.000013105_225 length=151 number of reps 1369	ERR1079964.226	MT445109.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1079964.4617 10317.000013105_4616 length=150 number of reps 1359	ERR1079964.4617	LR699017.1	100.0	6.369999999999999e-71	Faecalibacterium prausnitzii	853	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii
>ERR1160658.278 10317.000032795_277 length=126 number of reps 1323	ERR1160658.278	LR135607.1	100.0	1.1100000000000001e-57	Klebsiella michiganensis	1134687	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella michiganensis
>ERR1080303.51 10317.000021280_50 length=151 number of reps 1292	ERR1080303.51	CP040518.1	100.0	1.7899999999999994e-71	Blautia sp. SC05B48	2479767	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;Blautia sp. SC05B48
>ERR1079964.648 10317.000013105_647 length=151 number of reps 1189	ERR1079964.648	MN474966.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1458766.18 10317.000028806_17 length=150 number of reps 1161	ERR1458766.18	MG858628.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1079964.558 10317.000013105_557 length=151 number of reps 1158	ERR1079964.558	CP051672.1	100.0	1.7899999999999994e-71	Parabacteroides distasonis	823	Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis
>ERR1458766.5385 10317.000028806_5384 length=150 number of reps 1149	ERR1458766.5385	CP051144.1	100.0	6.369999999999999e-71	Romboutsia sp. CE17	2724150	Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis
>ERR1079964.924 10317.000013105_923 length=151 number of reps 1138	ERR1079964.924	LR640086.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1845804.468 10317.000023590_467 length=150 number of reps 1018	ERR1845804.468	MN081733.1	100.0	6.369999999999999e-71	Bacteroides sartorii	671267	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sartorii
>ERR2319745.462 10317.000050475_461 length=150 number of reps 979	ERR2319745.462	LC515634.1	100.0	6.369999999999999e-71	Bacteroides stercoris	46506	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris
>ERR1079964.29 10317.000013105_28 length=151 number of reps 963	ERR1079964.29	LR797773.1	100.0	1.7899999999999994e-71	Enterobacter ludwigii	299767	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter ludwigii
>ERR2696499.8 10317.000076358_7 length=151 number of reps 948	ERR2696499.8	CP053042.1	100.0	6.429999999999998e-71	Proteus cibarius	626774	Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;Proteus cibarius
>ERR4019696.38 10317.000101088_37 length=151 number of reps 918	ERR4019696.38	HQ790005.1	100.0	1.7899999999999994e-71	uncultured organism	155900	NaN;NaN;NaN;NaN;NaN;uncultured organism
>ERR2319745.2043 10317.000050475_2042 length=151 number of reps 916	ERR2319745.2043	MK727100.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2319745.139 10317.000050475_138 length=151 number of reps 860	ERR2319745.139	MK274834.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1080303.255 10317.000021280_254 length=151 number of reps 853	ERR1080303.255	MT445121.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1458766.5714 10317.000028806_5713 length=150 number of reps 815	ERR1458766.5714				uncultured bacterium		
>ERR2319745.353 10317.000050475_352 length=151 number of reps 812	ERR2319745.353				uncultured bacterium		
>ERR2405131.1661 10317.000082870_1660 length=151 number of reps 768	ERR2405131.1661				uncultured bacterium		
>ERR1841615.14984 10317.000040396_14983 length=150 number of reps 751	ERR1841615.14984				uncultured bacterium		
>ERR2319745.704 10317.000050475_703 length=151 number of reps 743	ERR2319745.704				uncultured bacterium		
>ERR1079964.294 10317.000013105_293 length=151 number of reps 708	ERR1079964.294				uncultured bacterium		
>ERR1079964.879 10317.000013105_878 length=151 number of reps 693	ERR1079964.879				uncultured bacterium		
>ERR1458766.170 10317.000028806_169 length=150 number of reps 668	ERR1458766.170				uncultured bacterium		
>ERR1843602.6 10317.000040396_5 length=150 number of reps 665	ERR1843602.6				uncultured bacterium		
>ERR2319745.112 10317.000050475_111 length=151 number of reps 659	ERR2319745.112				uncultured bacterium		
>ERR1079964.401 10317.000013105_400 length=151 number of reps 656	ERR1079964.401				uncultured bacterium		
>ERR1080303.1269 10317.000021280_1268 length=151 number of reps 653	ERR1080303.1269				uncultured bacterium		
>ERR1079930.15 10317.000004800_14 length=151 number of reps 650	ERR1079930.15				uncultured bacterium		
>ERR1079964.5810 10317.000013105_5809 length=151 number of reps 633	ERR1079964.5810				uncultured bacterium		
>ERR1079964.396 10317.000013105_395 length=151 number of reps 627	ERR1079964.396				uncultured bacterium		
>ERR2319745.185 10317.000050475_184 length=151 number of reps 624	ERR2319745.185				uncultured bacterium		
>ERR1079964.2512 10317.000013105_2511 length=151 number of reps 607	ERR1079964.2512				uncultured bacterium		
>ERR1458766.1414 10317.000028806_1413 length=150 number of reps 603	ERR1458766.1414				uncultured bacterium		
>ERR1080303.6680 10317.000021280_6679 length=151 number of reps 593	ERR1080303.6680				uncultured bacterium		
>ERR1458766.542 10317.000028806_541 length=150 number of reps 580	ERR1458766.542				uncultured bacterium		
>ERR1458766.47 10317.000028806_46 length=150 number of reps 553	ERR1458766.47				uncultured bacterium		
>ERR1458766.23 10317.000028806_22 length=150 number of reps 537	ERR1458766.23				uncultured bacterium		
>ERR2405131.8233 10317.000082870_8232 length=151 number of reps 534	ERR2405131.8233				uncultured bacterium		
>ERR1160658.299 10317.000032795_298 length=126 number of reps 531	ERR1160658.299				uncultured bacterium		
>ERR1080303.1135 10317.000021280_1134 length=151 number of reps 512	ERR1080303.1135				uncultured bacterium		
>ERR1845804.10194 10317.000023590_10193 length=150 number of reps 509	ERR1845804.10194				uncultured bacterium		
>ERR1080303.3641 10317.000021280_3640 length=151 number of reps 496	ERR1080303.3641				uncultured bacterium		
>ERR1080303.449 10317.000021280_448 length=151 number of reps 492	ERR1080303.449				uncultured bacterium		
>ERR1079964.613 10317.000013105_612 length=151 number of reps 489	ERR1079964.613				uncultured bacterium		
>ERR1458766.489 10317.000028806_488 length=150 number of reps 481	ERR1458766.489				uncultured bacterium		
>ERR1842255.34 10317.000044555_33 length=150 number of reps 476	ERR1842255.34				uncultured bacterium		
>ERR1079964.893 10317.000013105_892 length=151 number of reps 475	ERR1079964.893				uncultured bacterium		
>ERR1079964.2508 10317.000013105_2507 length=151 number of reps 474	ERR1079964.2508				uncultured bacterium		
>ERR2697834.9 10317.000097233_8 length=151 number of reps 464	ERR2697834.9				uncultured bacterium		
>ERR2405131.39 10317.000082870_38 length=151 number of reps 457	ERR2405131.39				uncultured bacterium		
>ERR1160658.178 10317.000032795_177 length=126 number of reps 451	ERR1160658.178				uncultured bacterium		
>ERR1845804.14876 10317.000023590_14875 length=150 number of reps 442	ERR1845804.14876				uncultured bacterium		
>ERR1160658.317 10317.000032795_316 length=126 number of reps 442	ERR1160658.317				uncultured bacterium		
>ERR1458766.214 10317.000028806_213 length=150 number of reps 439	ERR1458766.214				uncultured bacterium		
>ERR1080303.2488 10317.000021280_2487 length=151 number of reps 433	ERR1080303.2488				uncultured bacterium		
>ERR1079964.3599 10317.000013105_3598 length=151 number of reps 432	ERR1079964.3599				uncultured bacterium		
>ERR1845804.936 10317.000023590_935 length=150 number of reps 422	ERR1845804.936				uncultured bacterium		
>ERR1458766.14830 10317.000028806_14829 length=150 number of reps 419	ERR1458766.14830				uncultured bacterium		
>ERR2405131.3916 10317.000082870_3915 length=151 number of reps 417	ERR2405131.3916				uncultured bacterium		
>ERR1079964.1035 10317.000013105_1034 length=151 number of reps 415	ERR1079964.1035				uncultured bacterium		
>ERR1080303.3900 10317.000021280_3899 length=151 number of reps 410	ERR1080303.3900				uncultured bacterium		
>ERR1079964.144 10317.000013105_143 length=151 number of reps 409	ERR1079964.144				uncultured bacterium		
>ERR1079964.210 10317.000013105_209 length=151 number of reps 408	ERR1079964.210				uncultured bacterium		
>ERR1845804.56 10317.000023590_55 length=150 number of reps 403	ERR1845804.56				uncultured bacterium		
>ERR2697834.35 10317.000097233_34 length=151 number of reps 400	ERR2697834.35				uncultured bacterium		
>ERR1842632.2039 10317.000062081_2038 length=150 number of reps 389	ERR1842632.2039				uncultured bacterium		
>ERR1458766.80 10317.000028806_79 length=150 number of reps 388	ERR1458766.80				uncultured bacterium		
>ERR2405131.976 10317.000082870_975 length=151 number of reps 384	ERR2405131.976				uncultured bacterium		
>ERR1843602.96 10317.000040396_95 length=150 number of reps 371	ERR1843602.96				uncultured bacterium		
>ERR1458766.65 10317.000028806_64 length=150 number of reps 365	ERR1458766.65				uncultured bacterium		
>ERR2319745.44960 10317.000050475_44959 length=150 number of reps 363	ERR2319745.44960				uncultured bacterium		
>ERR1160658.364 10317.000032795_363 length=126 number of reps 361	ERR1160658.364				uncultured bacterium		
>ERR1080303.496 10317.000021280_495 length=151 number of reps 361	ERR1080303.496				uncultured bacterium		
>ERR1842255.107 10317.000044555_106 length=150 number of reps 353	ERR1842255.107				uncultured bacterium		
>ERR1080303.75 10317.000021280_74 length=151 number of reps 353	ERR1080303.75				uncultured bacterium		
>ERR1079964.6062 10317.000013105_6061 length=151 number of reps 350	ERR1079964.6062				uncultured bacterium		
>ERR1079964.402 10317.000013105_401 length=151 number of reps 347	ERR1079964.402				uncultured bacterium		
>ERR2319745.2718 10317.000050475_2717 length=151 number of reps 345	ERR2319745.2718				uncultured bacterium		
>ERR1080303.3395 10317.000021280_3394 length=151 number of reps 341	ERR1080303.3395				uncultured bacterium		
>ERR1458766.226 10317.000028806_225 length=150 number of reps 335	ERR1458766.226				uncultured bacterium		
>ERR1458766.475 10317.000028806_474 length=150 number of reps 332	ERR1458766.475				uncultured bacterium		
>ERR1079964.44 10317.000013105_43 length=151 number of reps 332	ERR1079964.44				uncultured bacterium		
>ERR1079964.2930 10317.000013105_2929 length=151 number of reps 331	ERR1079964.2930				uncultured bacterium		
>ERR1458766.1170 10317.000028806_1169 length=150 number of reps 329	ERR1458766.1170	MN474435.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1458766.485 10317.000028806_484 length=150 number of reps 326	ERR1458766.485	MN474887.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1079964.36 10317.000013105_35 length=151 number of reps 326	ERR1079964.36	MT268988.1	100.0	6.429999999999998e-71	Bacteroides uniformis	820	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis
>ERR1841615.1284 10317.000040396_1283 length=150 number of reps 309	ERR1841615.1284	MT445141.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1079964.9 10317.000013105_8 length=151 number of reps 304	ERR1079964.9	MT464394.1	100.0	6.429999999999998e-71	Bacteroides dorei	357276	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides dorei
>ERR2405131.2794 10317.000082870_2793 length=151 number of reps 303	ERR2405131.2794	JQ185275.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2405131.57 10317.000082870_56 length=151 number of reps 298	ERR2405131.57	MK274833.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1458766.28 10317.000028806_27 length=150 number of reps 297	ERR1458766.28	CP049223.1	100.0	6.369999999999999e-71	Lactobacillus iners	147802	Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus iners
>ERR1079964.23 10317.000013105_22 length=151 number of reps 297	ERR1079964.23	EF709162.1	100.0	1.7899999999999994e-71	uncultured Bacteroidales bacterium	194843	Bacteroidetes;Bacteroidia;Bacteroidales;NaN;NaN;uncultured Bacteroidales bacterium
>ERR1160658.455 10317.000032795_454 length=126 number of reps 296	ERR1160658.455	KP108905.1	100.0	1.1100000000000001e-57	uncultured Oribacterium sp.	462198	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Oribacterium;uncultured Oribacterium sp.
>ERR1458766.1148 10317.000028806_1147 length=150 number of reps 293	ERR1458766.1148	MH761663.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1845804.6980 10317.000023590_6979 length=150 number of reps 286	ERR1845804.6980	MT516170.1	99.333	2.96e-69	Escherichia fergusonii	564	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia fergusonii
>ERR1843602.34 10317.000040396_33 length=150 number of reps 281	ERR1843602.34	MT516130.1	100.0	6.369999999999999e-71	Lactobacillus ruminis	1623	Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus ruminis
>ERR1160658.199 10317.000032795_198 length=126 number of reps 279	ERR1160658.199	KX994305.1	100.0	1.1100000000000001e-57	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2405131.1523 10317.000082870_1522 length=151 number of reps 276	ERR2405131.1523	MH761572.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2319745.3701 10317.000050475_3700 length=151 number of reps 271	ERR2319745.3701	LR654724.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696499.90 10317.000076358_89 length=151 number of reps 270	ERR2696499.90	CP053042.1	99.338	8.309999999999998e-70	Proteus cibarius	626774	Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;Proteus cibarius
>ERR1845804.1415 10317.000023590_1414 length=150 number of reps 270	ERR1845804.1415	MN212362.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2319745.8381 10317.000050475_8380 length=151 number of reps 269	ERR2319745.8381	MH467656.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1841615.933 10317.000040396_932 length=150 number of reps 269	ERR1841615.933	MN474266.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1080303.38 10317.000021280_37 length=151 number of reps 266	ERR1080303.38	MN215011.1	100.0	1.7899999999999994e-71	uncultured Bacteroides sp.	162156	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured Bacteroides sp.
